prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.17094017094017094,0.0,0.13675213675213677,0.0
gender declaration man,masculine,0.07692307692307693,0.23931623931623933,0.0,0.0
gender declaration man,feminine,0.1794871794871795,0.42735042735042733,0.37606837606837606,0.0
gender declaration nonbinary,neutral,0.1794871794871795,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.452991452991453,0.5470085470085471,0.0,0.0
gender declaration nonbinary,feminine,0.5897435897435898,0.4017094017094017,0.0,0.0
gender declaration woman,neutral,0.19658119658119658,0.0,0.0,0.1282051282051282
gender declaration woman,masculine,0.29914529914529914,0.41025641025641024,0.0,0.27350427350427353
gender declaration woman,feminine,0.06837606837606838,0.3504273504273504,0.0,0.0
pronoun declaration he/him,neutral,0.07692307692307693,0.0,0.042735042735042736,0.0
pronoun declaration he/him,masculine,0.08547008547008547,0.23076923076923078,0.0,0.0
pronoun declaration he/him,feminine,0.20512820512820512,0.4358974358974359,0.358974358974359,0.0
pronoun declaration she/her,neutral,0.11965811965811966,0.0,0.0,0.017094017094017096
pronoun declaration she/her,masculine,0.29914529914529914,0.4444444444444444,0.0,0.23931623931623933
pronoun declaration she/her,feminine,0.06837606837606838,0.2905982905982906,0.0,0.0
pronoun declaration they/them,neutral,0.09401709401709402,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.39316239316239315,0.5982905982905983,0.0,0.0
pronoun declaration they/them,feminine,0.46153846153846156,0.5299145299145299,0.0,0.0
pronoun usage her,neutral,0.17094017094017094,0.0,0.0,0.0
pronoun usage her,masculine,0.27350427350427353,0.46153846153846156,0.0,0.08547008547008547
pronoun usage her,feminine,0.06837606837606838,0.15384615384615385,0.0,0.0
pronoun usage his,neutral,0.17094017094017094,0.0,0.0,0.0
pronoun usage his,masculine,0.10256410256410256,0.2564102564102564,0.0,0.0
pronoun usage his,feminine,0.05128205128205128,0.23076923076923078,0.0,0.0
pronoun usage their,neutral,0.15384615384615385,0.0,0.0,0.0
pronoun usage their,masculine,0.08547008547008547,0.2905982905982906,0.0,0.0
pronoun usage their,feminine,0.05128205128205128,0.17094017094017094,0.0,0.0
unknown gender,neutral,0.11965811965811966,0.0,0.008547008547008548,0.0
unknown gender,masculine,0.07692307692307693,0.2905982905982906,0.0,0.0
unknown gender,feminine,0.03418803418803419,0.1623931623931624,0.0,0.0
